,K,NDTR,ret
626,45,650,-2.3970251852631823e-06
627,45,700,8.619266880604248e-07
628,45,750,1.1884259104068569e-05
629,45,800,5.996650732666023e-06
630,45,850,-1.769489228580073e-05
631,45,900,-1.6875336627260626e-05
632,45,950,-1.3717714512909211e-05
633,45,1000,-2.9978076692625127e-05
634,45,1050,-2.0327591104342672e-05
635,45,1100,-3.098190873416122e-05
636,45,1150,-2.0701593134531078e-05
637,45,1200,-3.7856908625614315e-05
638,45,1250,-2.5068279244720857e-05
639,45,1300,-8.428438752314189e-06
640,45,1350,-1.6948464971841036e-05
641,45,1400,-1.490577340739854e-05
642,45,1450,-1.5981020013401565e-05
643,45,1500,0.0
644,45,1550,0.0
645,45,1600,0.0
646,45,1650,0.0
647,45,1700,0.0
648,45,1750,0.0
649,45,1800,0.0
650,45,1850,0.0
651,45,1900,0.0
652,45,1950,5.423470579194116e-06
653,45,2000,6.893205965254714e-06
654,45,2050,-1.7318635784233031e-06
655,45,2100,5.179348433055966e-07
656,45,2150,2.8092592909384737e-05
657,45,2200,1.4820258368026515e-06
658,45,2250,-4.340412593875584e-06
659,45,2300,2.1042072210273904e-06
660,45,2350,-5.687385487356652e-06
661,45,2400,1.5984416606219921e-06
662,45,2450,-4.4830091195553434e-06
663,45,2500,-5.2755205692023194e-05
664,45,2550,-5.697777008536278e-05
665,45,2600,-6.241134325779702e-05
666,45,2650,-7.716155621628267e-05
667,45,2700,-8.262370912671816e-05
668,45,2750,-6.691074797581199e-05
669,45,2800,-7.185086427479206e-05
670,45,2850,-9.916544936989632e-05
671,45,2900,-6.220814682537458e-05
672,45,2950,-6.299247378026537e-05
673,45,3000,-5.928227817114416e-05
674,45,3050,-3.903167243311172e-05
675,45,3100,-3.599319736512112e-05
676,45,3150,-4.1397704791076625e-05
677,45,3200,2.3559035702532316e-05
678,45,3250,1.4653889327419819e-05
679,45,3300,3.107083232245859e-05
680,45,3350,2.7305107435239636e-05
681,45,3400,4.480401949770629e-05
