,K,NDTR,ret
898,60,2700,0.0
899,60,2750,0.0
900,60,2800,0.0
901,60,2850,0.0
902,60,2900,0.0
903,60,2950,0.0
904,60,3000,0.0
905,60,3050,0.0
906,60,3100,0.0
907,60,3150,0.0
908,60,3200,0.0
909,60,3250,0.0
910,60,3300,0.0
911,60,3350,0.0
912,60,3400,0.0
913,60,3450,0.0
914,60,3500,0.0
915,60,3550,0.0
916,60,3600,0.0
917,60,3650,0.0
918,60,3700,0.0
919,60,3750,0.0
920,60,3800,0.0
921,60,3850,0.0
922,60,3900,0.0
923,60,3950,0.0
924,65,150,-9.84338446345595e-06
925,65,200,-2.0666056700371305e-05
926,65,250,6.088576151057943e-06
927,65,300,1.0181250909681959e-05
928,65,350,-9.093803871864867e-06
929,65,400,5.223350855350228e-06
930,65,450,1.0137780622923457e-05
931,65,500,1.7965632231696793e-05
932,65,550,-1.0806336938882287e-05
933,65,600,5.624673379311444e-07
934,65,650,-2.7858543739000676e-06
935,65,700,5.516337194342964e-06
936,65,750,1.4303409564418445e-05
937,65,800,4.791064037189863e-06
938,65,850,-2.69059134090522e-05
939,65,900,-1.6582757891225555e-05
940,65,950,-2.3308091248136967e-05
941,65,1000,0.0
942,65,1050,-8.996071849705875e-05
943,65,1100,0.0
944,65,1150,0.0
945,65,1200,0.0
946,65,1250,0.0
947,65,1300,0.0
948,65,1350,0.0
949,65,1400,-5.611296374381023e-06
950,65,1450,0.0
951,65,1500,0.0
952,65,1550,0.0
953,65,1600,0.0
954,65,1650,0.0
955,65,1700,0.0
956,65,1750,0.0
957,65,1800,0.0
958,65,1850,0.0
959,65,1900,0.0
960,65,1950,0.0
961,65,2000,0.0
962,65,2050,0.0
963,65,2100,0.0
964,65,2150,0.0
965,65,2200,0.0
966,65,2250,0.0
967,65,2300,0.0
